t,tp,y,u,pot,dtp,dt,step,pct,ref
0.000000,0.000000,0.000000,100.000000,0.000000,0.025360,0.000337,0.000000,0.000044,0.000000
0.020329,0.019420,0.065918,0.000000,0.000000,0.019420,0.020000,1.000000,0.019460,0.000000
0.040335,0.039444,0.593262,0.000000,0.000000,0.020024,0.020006,2.000000,0.039492,0.000000
0.060339,0.059432,1.713867,0.000000,0.000000,0.019988,0.020005,3.000000,0.059472,0.000000
0.080346,0.079460,3.164062,0.000000,0.000000,0.020028,0.020007,4.000000,0.079500,0.000000
0.100353,0.100004,4.746094,0.000000,0.000000,0.020544,0.020006,5.000000,0.100044,0.000000
0.120356,0.120016,6.328125,0.000000,0.000000,0.020012,0.020004,6.000000,0.120056,0.000000
0.140361,0.139428,7.910156,0.000000,0.000000,0.019412,0.020005,7.000000,0.139468,0.000000
0.160365,0.159452,9.294434,0.000000,0.000000,0.020024,0.020003,8.000000,0.159492,0.000000
0.180370,0.179424,10.546875,0.000000,0.000000,0.019972,0.020006,9.000000,0.179460,0.000000
0.200378,0.200008,11.601562,0.000000,0.000000,0.020584,0.020007,10.000000,0.200048,0.000000
0.220379,0.219416,12.194824,0.000000,0.000000,0.019408,0.020002,11.000000,0.219460,0.000000
0.240381,0.239452,12.458496,0.000000,0.000000,0.020036,0.020002,12.000000,0.239492,0.000000
0.260389,0.260040,12.260742,0.000000,0.000000,0.020588,0.020007,13.000000,0.260076,0.000000
0.280391,0.279412,11.865234,0.000000,0.000000,0.019372,0.020002,14.000000,0.279456,0.000000
0.300395,0.299996,10.876465,0.000000,0.000000,0.020584,0.020012,15.000000,0.300040,0.000000
0.320410,0.320028,9.624023,0.000000,0.000000,0.020032,0.020008,16.000000,0.320076,0.000000
0.340415,0.340016,8.173828,0.000000,0.000000,0.019988,0.020005,17.000000,0.340056,0.000000
0.360417,0.360036,6.394043,0.000000,0.000000,0.020020,0.020002,18.000000,0.360072,0.000000
0.380425,0.380016,4.482422,0.000000,0.000000,0.019980,0.020007,19.000000,0.380056,0.000000
0.400430,0.400000,2.373047,0.000000,0.000000,0.019984,0.020005,20.000000,0.400040,0.000000
0.420432,0.420008,0.131836,0.000000,0.000000,0.020008,0.020002,21.000000,0.420048,0.000000
0.440439,0.439996,-1.845703,0.000000,0.000000,0.019988,0.020008,22.000000,0.440040,0.000000
0.460440,0.460008,-3.889160,0.000000,0.000000,0.020012,0.020001,23.000000,0.460048,0.000000
0.480444,0.480036,-5.800781,0.000000,0.000000,0.020028,0.020004,24.000000,0.480076,0.000000
0.500449,0.500008,-7.514648,0.000000,0.000000,0.019972,0.020004,25.000000,0.500044,0.000000
0.520453,0.520036,-8.833008,0.000000,0.000000,0.020028,0.020005,26.000000,0.520076,0.000000
0.540455,0.540016,-9.887695,0.000000,0.000000,0.019980,0.020002,27.000000,0.540056,0.000000
0.560462,0.559996,-10.546875,0.000000,0.000000,0.019980,0.020009,28.000000,0.560040,0.000000
0.580465,0.580012,-10.942383,0.000000,0.000000,0.020016,0.020000,29.000000,0.580052,0.000000
0.600472,0.599996,-10.810547,0.000000,0.000000,0.019984,0.020008,30.000000,0.600040,0.000000
0.620478,0.620020,-10.415039,0.000000,0.000000,0.020024,0.020006,31.000000,0.620060,0.000000
0.640481,0.640008,-9.624023,0.000000,0.000000,0.019988,0.020002,32.000000,0.640048,0.000000
0.660487,0.660036,-8.371582,0.000000,0.000000,0.020028,0.020006,33.000000,0.660072,0.000000
0.660495,0.680016,-6.987305,0.000000,0.000000,0.019980,0.020290,34.000000,0.680056,0.000000
0.700781,0.700044,-5.273438,0.000000,0.000000,0.020028,0.020004,35.000000,0.700080,0.000000
0.720781,0.720016,-3.427734,0.000000,0.000000,0.019972,0.020001,36.000000,0.720052,0.000000
0.740789,0.740036,-1.318359,0.000000,0.000000,0.020020,0.020008,37.000000,0.740076,0.000000
0.760797,0.760008,0.593262,0.000000,0.000000,0.019972,0.020008,38.000000,0.760044,0.000000
0.780799,0.780036,2.702637,0.000000,0.000000,0.020028,0.020001,39.000000,0.780076,0.000000
0.800800,0.800008,4.614258,0.000000,0.000000,0.019972,0.020001,40.000000,0.800044,0.000000
0.820803,0.820036,6.328125,0.000000,0.000000,0.020028,0.020003,41.000000,0.820076,0.000000
0.840806,0.840008,7.778320,0.000000,0.000000,0.019972,0.020004,42.000000,0.840044,0.000000
0.860813,0.860028,9.030762,0.000000,0.000000,0.020020,0.020007,43.000000,0.860068,0.000000
0.880814,0.880036,9.821777,0.000000,0.000000,0.020008,0.020001,44.000000,0.880076,0.000000
0.900817,0.900016,10.349121,0.000000,0.000000,0.019980,0.020003,45.000000,0.900056,0.000000
0.920821,0.920028,10.415039,0.000000,0.000000,0.020012,0.020003,46.000000,0.920068,0.000000
0.920829,0.946040,10.019531,0.000000,0.000000,0.026012,0.025767,47.000000,0.946080,0.000000
0.966595,0.966012,9.294434,0.000000,0.000000,0.019972,0.020007,48.000000,0.966048,0.000000
0.986601,0.986036,8.239746,0.000000,0.000000,0.020024,0.020006,49.000000,0.986076,0.000000
1.006601,1.006004,6.921387,0.000000,0.000000,0.019968,0.020000,50.000000,1.006048,0.000000
1.026608,1.026028,5.405273,0.000000,0.000000,0.020024,0.020007,51.000000,1.026068,0.000000
1.046609,1.046044,3.691406,0.000000,0.000000,0.020016,0.020001,52.000000,1.046088,0.000000
1.066612,1.066032,1.845703,0.000000,0.000000,0.019988,0.020003,53.000000,1.066072,0.000000
1.086619,1.086012,0.000000,0.000000,0.000000,0.019980,0.020008,54.000000,1.086056,0.000000
1.106625,1.106044,-1.845703,0.000000,0.000000,0.020032,0.020006,55.000000,1.106084,0.000000
1.126626,1.126024,-3.691406,0.000000,0.000000,0.019980,0.020000,56.000000,1.126064,0.000000
1.146629,1.146044,-5.273438,0.000000,0.000000,0.020020,0.020008,57.000000,1.146080,0.000000
1.166634,1.166016,-6.789551,0.000000,0.000000,0.019972,0.020000,58.000000,1.166056,0.000000
1.186640,1.186024,-7.910156,0.000000,0.000000,0.020008,0.020007,59.000000,1.186064,0.000000
1.206647,1.206008,-8.833008,0.000000,0.000000,0.019984,0.020007,60.000000,1.206048,0.000000
1.226655,1.226016,-9.426270,0.000000,0.000000,0.020008,0.020007,61.000000,1.226056,0.000000
1.246660,1.246008,-9.689941,0.000000,0.000000,0.019992,0.020006,62.000000,1.246048,0.000000
1.266666,1.266024,-9.492188,0.000000,0.000000,0.020016,0.020005,63.000000,1.266064,0.000000
1.286666,1.286052,-9.162598,0.000000,0.000000,0.020028,0.020000,64.000000,1.286092,0.000000
1.306666,1.306028,-8.371582,0.000000,0.000000,0.019976,0.020000,65.000000,1.306064,0.000000
1.326670,1.326052,-7.316895,0.000000,0.000000,0.020024,0.020005,66.000000,1.326092,0.000000
1.326679,1.346460,-5.998535,0.000000,0.000000,0.020408,0.020591,67.000000,1.346500,0.000000
1.347270,1.378048,-3.559570,0.000000,0.000000,0.031588,0.031377,68.000000,1.378088,0.000000
1.398640,1.398024,-1.779785,0.000000,0.000000,0.019976,0.020001,69.000000,1.398060,0.000000
1.418646,1.418044,0.065918,0.000000,0.000000,0.020020,0.020006,70.000000,1.418084,0.000000
1.438647,1.438016,1.911621,0.000000,0.000000,0.019972,0.020001,71.000000,1.438052,0.000000
1.438655,1.462440,4.020996,0.000000,0.000000,0.024424,0.024563,72.000000,1.462480,0.000000
1.483217,1.482468,5.537109,0.000000,0.000000,0.020028,0.020008,73.000000,1.482508,0.000000
1.503221,1.502440,6.921387,0.000000,0.000000,0.019972,0.020004,74.000000,1.502476,0.000000
1.523223,1.522460,7.976074,0.000000,0.000000,0.020020,0.020001,75.000000,1.522500,0.000000
1.543226,1.542472,8.701172,0.000000,0.000000,0.020012,0.020004,76.000000,1.542512,0.000000
1.563230,1.562448,9.228516,0.000000,0.000000,0.019976,0.020004,77.000000,1.562488,0.000000
1.583234,1.582468,9.228516,0.000000,0.000000,0.020020,0.020003,78.000000,1.582508,0.000000
1.603241,1.602440,9.030762,0.000000,0.000000,0.019972,0.020008,79.000000,1.602480,0.000000
1.623248,1.622452,8.503418,0.000000,0.000000,0.020012,0.020007,80.000000,1.622492,0.000000
1.643256,1.642476,7.646484,0.000000,0.000000,0.020024,0.020008,81.000000,1.642516,0.000000
1.663258,1.662452,6.591797,0.000000,0.000000,0.019976,0.020002,82.000000,1.662488,0.000000
1.683261,1.682428,5.273438,0.000000,0.000000,0.019976,0.020002,83.000000,1.682472,0.000000
1.703261,1.702452,3.757324,0.000000,0.000000,0.020024,0.020000,84.000000,1.702500,0.000000
1.723262,1.722436,2.175293,0.000000,0.000000,0.019984,0.020001,85.000000,1.722480,0.000000
1.743267,1.742460,0.527344,0.000000,0.000000,0.020024,0.020005,86.000000,1.742500,0.000000
1.763274,1.762472,-1.186523,0.000000,0.000000,0.020012,0.020008,87.000000,1.762512,0.000000
1.783278,1.782456,-2.834473,0.000000,0.000000,0.019984,0.020003,88.000000,1.782496,0.000000
1.803284,1.802468,-4.350586,0.000000,0.000000,0.020012,0.020006,89.000000,1.802504,0.000000
1.823289,1.822440,-5.668945,0.000000,0.000000,0.019972,0.020005,90.000000,1.822480,0.000000
1.843290,1.842448,-6.789551,0.000000,0.000000,0.020008,0.020001,91.000000,1.842488,0.000000
1.863291,1.862468,-7.646484,0.000000,0.000000,0.020020,0.020002,92.000000,1.862504,0.000000
1.883293,1.882484,-8.305664,0.000000,0.000000,0.020016,0.020001,93.000000,1.882520,0.000000
1.903297,1.902456,-8.569336,0.000000,0.000000,0.019972,0.020004,94.000000,1.902496,0.000000
1.923301,1.922468,-8.569336,0.000000,0.000000,0.020012,0.020004,95.000000,1.922508,0.000000
1.943305,1.942448,-8.305664,0.000000,0.000000,0.019980,0.020004,96.000000,1.942488,0.000000
1.963310,1.962460,-7.646484,0.000000,0.000000,0.020012,0.020006,97.000000,1.962500,0.000000
1.983313,1.982476,-6.789551,0.000000,0.000000,0.020016,0.020003,98.000000,1.982516,0.000000
2.003315,2.002452,-5.668945,0.000000,0.000000,0.019976,0.020002,99.000000,2.002488,0.000000
2.023317,2.022476,-4.350586,0.000000,0.000000,0.020024,0.020002,100.000000,2.022512,0.000000
2.043318,2.042456,-2.900391,0.000000,0.000000,0.019980,0.020000,101.000000,2.042496,0.000000
2.063325,2.062484,-1.318359,0.000000,0.000000,0.020028,0.020011,102.000000,2.062524,0.000000
2.083335,2.082464,0.263672,0.000000,0.000000,0.019980,0.020007,103.000000,2.082504,0.000000
2.103335,2.102436,1.845703,0.000000,0.000000,0.019972,0.020000,104.000000,2.102476,0.000000
2.123341,2.122468,3.427734,0.000000,0.000000,0.020032,0.020005,105.000000,2.122508,0.000000
2.143341,2.142436,4.812012,0.000000,0.000000,0.019968,0.020000,106.000000,2.142476,0.000000
2.163346,2.162468,6.064453,0.000000,0.000000,0.020032,0.020005,107.000000,2.162504,0.000000
2.183347,2.182436,6.987305,0.000000,0.000000,0.019968,0.020002,108.000000,2.182480,0.000000
2.183356,2.213032,7.976074,0.000000,0.000000,0.030596,0.030114,109.000000,2.213072,0.000000
2.233467,2.232452,8.239746,0.000000,0.000000,0.019420,0.020005,110.000000,2.232492,0.000000
2.253474,2.252476,8.173828,0.000000,0.000000,0.020024,0.020007,111.000000,2.252516,0.000000
2.273477,2.272448,7.910156,0.000000,0.000000,0.019972,0.020003,112.000000,2.272484,0.000000
2.293481,2.293032,7.250977,0.000000,0.000000,0.020584,0.020004,113.000000,2.293072,0.000000
2.313484,2.313060,6.459961,0.000000,0.000000,0.020028,0.020004,114.000000,2.313100,0.000000
2.333492,2.333040,5.339355,0.000000,0.000000,0.019980,0.020007,115.000000,2.333080,0.000000
2.353495,2.353060,4.086914,0.000000,0.000000,0.020020,0.020003,116.000000,2.353100,0.000000
2.373499,2.373028,2.768555,0.000000,0.000000,0.019968,0.020004,117.000000,2.373064,0.000000
2.393503,2.393052,1.318359,0.000000,0.000000,0.020024,0.020004,118.000000,2.393092,0.000000
2.413503,2.413028,-0.197754,0.000000,0.000000,0.019976,0.020000,119.000000,2.413064,0.000000
2.433507,2.433052,-1.582031,0.000000,0.000000,0.020024,0.020005,120.000000,2.433092,0.000000
2.453508,2.453036,-3.098145,0.000000,0.000000,0.019984,0.020000,121.000000,2.453080,0.000000
2.473511,2.473060,-4.350586,0.000000,0.000000,0.020024,0.020003,122.000000,2.473100,0.000000
2.493517,2.493048,-5.471191,0.000000,0.000000,0.019988,0.020006,123.000000,2.493088,0.000000
2.513516,2.513064,-6.328125,0.000000,0.000000,0.020016,0.020000,124.000000,2.513104,0.000000
2.533521,2.533040,-7.053223,0.000000,0.000000,0.019976,0.020005,125.000000,2.533080,0.000000
2.553523,2.553056,-7.514648,0.000000,0.000000,0.020016,0.020001,126.000000,2.553096,0.000000
2.573527,2.573032,-7.580566,0.000000,0.000000,0.019976,0.020005,127.000000,2.573072,0.000000
2.593528,2.593044,-7.514648,0.000000,0.000000,0.020012,0.020001,128.000000,2.593080,0.000000
2.613529,2.613060,-7.119141,0.000000,0.000000,0.020016,0.020000,129.000000,2.613100,0.000000
2.633531,2.633032,-6.459961,0.000000,0.000000,0.019972,0.020002,130.000000,2.633068,0.000000
2.653538,2.653052,-5.537109,0.000000,0.000000,0.020020,0.020007,131.000000,2.653092,0.000000
2.673538,2.673068,-4.482422,0.000000,0.000000,0.020016,0.020001,132.000000,2.673108,0.000000
2.693545,2.693048,-3.295898,0.000000,0.000000,0.019980,0.020007,133.000000,2.693088,0.000000
2.713551,2.713020,-1.977539,0.000000,0.000000,0.019972,0.020005,134.000000,2.713064,0.000000
2.713559,2.846872,6.196289,0.000000,0.000000,0.133852,0.133958,135.000000,2.846912,0.000000
2.867511,2.867072,6.723633,0.000000,0.000000,0.020200,0.020003,136.000000,2.867108,0.000000
2.867520,2.889020,6.987305,0.000000,0.000000,0.021948,0.022276,137.000000,2.889064,0.000000
2.909795,2.909044,6.987305,0.000000,0.000000,0.020024,0.020008,138.000000,2.909084,0.000000
2.929801,2.929020,6.723633,0.000000,0.000000,0.019976,0.020005,139.000000,2.929064,0.000000
2.949805,2.949052,6.328125,0.000000,0.000000,0.020032,0.020004,140.000000,2.949092,0.000000
2.969811,2.969036,5.603027,0.000000,0.000000,0.019984,0.020006,141.000000,2.969072,0.000000
2.989813,2.989052,4.746094,0.000000,0.000000,0.020016,0.020003,142.000000,2.989092,0.000000
3.009816,3.009068,3.691406,0.000000,0.000000,0.020016,0.020003,143.000000,3.009116,0.000000
3.009825,3.030048,2.438965,0.000000,0.000000,0.020980,0.020942,144.000000,3.030088,0.000000
3.050761,3.050076,1.318359,0.000000,0.000000,0.020028,0.020002,145.000000,3.050112,0.000000
3.070768,3.070056,0.000000,0.000000,0.000000,0.019980,0.020008,146.000000,3.070096,0.000000
3.090771,3.090076,-1.252441,0.000000,0.000000,0.020020,0.020002,147.000000,3.090112,0.000000
3.110778,3.110048,-2.504883,0.000000,0.000000,0.019972,0.020008,148.000000,3.110084,0.000000
3.130775,3.130032,-3.559570,0.000000,0.000000,0.019984,0.020002,149.000000,3.130072,0.000000
3.150786,3.150048,-4.482422,0.000000,0.000000,0.020016,0.020006,150.000000,3.150088,0.000000
3.170788,3.170076,-5.273438,0.000000,0.000000,0.020028,0.020001,151.000000,3.170112,0.000000
3.190795,3.190056,-5.932617,0.000000,0.000000,0.019980,0.020007,152.000000,3.190092,0.000000
3.210801,3.210048,-6.262207,0.000000,0.000000,0.019992,0.020006,153.000000,3.210088,0.000000
3.230805,3.230064,-6.459961,0.000000,0.000000,0.020016,0.020004,154.000000,3.230104,0.000000
3.250805,3.250040,-6.262207,0.000000,0.000000,0.019976,0.020000,155.000000,3.250080,0.000000
3.250813,3.270060,-5.998535,0.000000,0.000000,0.020020,0.020150,156.000000,3.270100,0.000000
3.290955,3.290040,-5.471191,0.000000,0.000000,0.019980,0.020001,157.000000,3.290080,0.000000
3.310955,3.310060,-4.746094,0.000000,0.000000,0.020020,0.020000,158.000000,3.310100,0.000000
3.330962,3.330040,-3.823242,0.000000,0.000000,0.019980,0.020007,159.000000,3.330080,0.000000
3.350966,3.350060,-2.834473,0.000000,0.000000,0.020020,0.020003,160.000000,3.350108,0.000000
3.370969,3.370056,-1.713867,0.000000,0.000000,0.019996,0.020003,161.000000,3.370096,0.000000
3.390973,3.390040,-0.461426,0.000000,0.000000,0.019984,0.020005,162.000000,3.390080,0.000000
3.410973,3.410068,0.659180,0.000000,0.000000,0.020028,0.020000,163.000000,3.410108,0.000000
3.430974,3.430048,1.845703,0.000000,0.000000,0.019980,0.020000,164.000000,3.430088,0.000000
3.450970,3.450064,2.966309,0.000000,0.000000,0.020016,0.020000,165.000000,3.450104,0.000000
3.470977,3.470040,3.823242,0.000000,0.000000,0.019976,0.020003,166.000000,3.470080,0.000000
3.490982,3.490056,4.614258,0.000000,0.000000,0.020016,0.020005,167.000000,3.490096,0.000000
3.510982,3.510076,5.273438,0.000000,0.000000,0.020020,0.020000,168.000000,3.510116,0.000000
3.530987,3.530048,5.603027,0.000000,0.000000,0.019972,0.020005,169.000000,3.530084,0.000000
3.550992,3.550068,5.800781,0.000000,0.000000,0.020020,0.020006,170.000000,3.550108,0.000000
3.570999,3.570052,5.800781,0.000000,0.000000,0.019984,0.020007,171.000000,3.570088,0.000000
3.591001,3.590076,5.537109,0.000000,0.000000,0.020024,0.020002,172.000000,3.590116,0.000000
3.611008,3.610060,5.009766,0.000000,0.000000,0.019984,0.020006,173.000000,3.610096,0.000000
3.631012,3.630040,4.350586,0.000000,0.000000,0.019980,0.020004,174.000000,3.630080,0.000000
3.651015,3.650060,3.691406,0.000000,0.000000,0.020020,0.020003,175.000000,3.650100,0.000000
3.671017,3.670048,2.768555,0.000000,0.000000,0.019988,0.020002,176.000000,3.670088,0.000000
3.691020,3.690076,1.845703,0.000000,0.000000,0.020028,0.020003,177.000000,3.690112,0.000000
3.711027,3.710064,0.791016,0.000000,0.000000,0.019988,0.020007,178.000000,3.710104,0.000000
3.731032,3.730048,-0.197754,0.000000,0.000000,0.019984,0.020006,179.000000,3.730088,0.000000
3.751033,3.750064,-1.252441,0.000000,0.000000,0.020016,0.020001,180.000000,3.750104,0.000000
3.751042,3.780044,-2.636719,0.000000,0.000000,0.029980,0.029806,181.000000,3.780080,0.000000
3.800840,3.800068,-3.427734,0.000000,0.000000,0.020024,0.020001,182.000000,3.800108,0.000000
3.820848,3.820036,-4.152832,0.000000,0.000000,0.019968,0.020007,183.000000,3.820080,0.000000
3.840852,3.840068,-4.680176,0.000000,0.000000,0.020032,0.020004,184.000000,3.840108,0.000000
3.860857,3.860048,-5.009766,0.000000,0.000000,0.019980,0.020005,185.000000,3.860088,0.000000
3.880862,3.880076,-5.207520,0.000000,0.000000,0.020028,0.020005,186.000000,3.880116,0.000000
3.900861,3.900056,-5.207520,0.000000,0.000000,0.019980,0.020000,187.000000,3.900096,0.000000
3.920865,3.920068,-4.943848,0.000000,0.000000,0.020012,0.020004,188.000000,3.920104,0.000000
3.940867,3.940048,-4.614258,0.000000,0.000000,0.019980,0.020001,189.000000,3.940088,0.000000
3.960868,3.960056,-4.086914,0.000000,0.000000,0.020008,0.020001,190.000000,3.960096,0.000000
3.960876,3.981084,-3.295898,0.000000,0.000000,0.021028,0.021012,191.000000,3.981120,0.000000
4.001880,4.001056,-2.504883,0.000000,0.000000,0.019972,0.020001,192.000000,4.001092,0.000000
4.021882,4.021040,-1.582031,0.000000,0.000000,0.019984,0.020005,193.000000,4.021080,0.000000
4.041887,4.041056,-0.527344,0.000000,0.000000,0.020016,0.020002,194.000000,4.041096,0.000000
4.041896,4.061504,0.395508,0.000000,0.000000,0.020448,0.020672,195.000000,4.061544,0.000000
4.082566,4.082044,1.384277,0.000000,0.000000,0.020540,0.020006,196.000000,4.082084,0.000000
4.102573,4.102068,2.241211,0.000000,0.000000,0.020024,0.020008,197.000000,4.102108,0.000000
4.122577,4.121484,3.032227,0.000000,0.000000,0.019416,0.020003,198.000000,4.121524,0.000000
4.142580,4.142064,3.757324,0.000000,0.000000,0.020580,0.020004,199.000000,4.142104,0.000000
4.162585,4.162052,4.218750,0.000000,0.000000,0.019988,0.020005,200.000000,4.162088,0.000000
4.182590,4.182076,4.548340,0.000000,0.000000,0.020024,0.020004,201.000000,4.182116,0.000000
4.202597,4.202056,4.614258,0.000000,0.000000,0.019980,0.020007,202.000000,4.202096,0.000000
4.222598,4.222076,4.614258,0.000000,0.000000,0.020020,0.020001,203.000000,4.222116,0.000000
4.242604,4.242048,4.482422,0.000000,0.000000,0.019972,0.020007,204.000000,4.242088,0.000000
4.242613,4.263052,4.020996,0.000000,0.000000,0.021004,0.020839,205.000000,4.263088,0.000000
4.283444,4.282464,3.559570,0.000000,0.000000,0.019412,0.020000,206.000000,4.282508,0.000000
4.303448,4.302492,2.966309,0.000000,0.000000,0.020028,0.020004,207.000000,4.302532,0.000000
4.323455,4.322456,2.241211,0.000000,0.000000,0.019964,0.020008,208.000000,4.322500,0.000000
4.343458,4.342492,1.582031,0.000000,0.000000,0.020036,0.020003,209.000000,4.342528,0.000000
4.363464,4.362460,0.791016,0.000000,0.000000,0.019968,0.020006,210.000000,4.362500,0.000000
4.383471,4.382492,0.000000,0.000000,0.000000,0.020032,0.020007,211.000000,4.382528,0.000000
4.403475,4.402496,-0.922852,0.000000,0.000000,0.020004,0.020003,212.000000,4.402536,0.000000
4.423475,4.422488,-1.713867,0.000000,0.000000,0.019992,0.020001,213.000000,4.422528,0.000000
4.443482,4.442472,-2.373047,0.000000,0.000000,0.019984,0.020006,214.000000,4.442512,0.000000
4.463480,4.463048,-3.032227,0.000000,0.000000,0.020576,0.020002,215.000000,4.463088,0.000000
4.483490,4.482504,-3.427734,0.000000,0.000000,0.019456,0.020007,216.000000,4.482544,0.000000
4.483499,4.512488,-3.889160,0.000000,0.000000,0.029984,0.029986,217.000000,4.512528,0.000000
4.533478,4.532496,-4.086914,0.000000,0.000000,0.020008,0.020001,218.000000,4.532536,0.000000
4.553483,4.552480,-4.086914,0.000000,0.000000,0.019984,0.020006,219.000000,4.552520,0.000000
4.573488,4.572500,-3.889160,0.000000,0.000000,0.020020,0.020004,220.000000,4.572536,0.000000
4.593489,4.592480,-3.625488,0.000000,0.000000,0.019980,0.020001,221.000000,4.592520,0.000000
4.613491,4.612500,-3.164062,0.000000,0.000000,0.020020,0.020002,222.000000,4.612540,0.000000
4.633492,4.632480,-2.636719,0.000000,0.000000,0.019980,0.020001,223.000000,4.632520,0.000000
4.653495,4.653064,-1.977539,0.000000,0.000000,0.020584,0.020007,224.000000,4.653104,0.000000
4.673503,4.673076,-1.318359,0.000000,0.000000,0.020012,0.020004,225.000000,4.673124,0.000000
4.693502,4.692500,-0.527344,0.000000,0.000000,0.019424,0.020000,226.000000,4.692548,0.000000
4.713507,4.712488,0.263672,0.000000,0.000000,0.019988,0.020004,227.000000,4.712528,0.000000
4.733509,4.732460,0.922852,0.000000,0.000000,0.019972,0.020002,228.000000,4.732512,0.000000
4.753514,4.752500,1.713867,0.000000,0.000000,0.020040,0.020006,229.000000,4.752536,0.000000
4.773521,4.772468,2.373047,0.000000,0.000000,0.019968,0.020006,230.000000,4.772512,0.000000
4.793525,4.792480,2.900391,0.000000,0.000000,0.020012,0.020004,231.000000,4.792520,0.000000
4.813520,4.813056,3.295898,0.000000,0.000000,0.020576,0.020000,232.000000,4.813096,0.000000
4.833532,4.832464,3.691406,0.000000,0.000000,0.019408,0.020008,233.000000,4.832508,0.000000
4.853535,4.852492,3.757324,0.000000,0.000000,0.020028,0.020002,234.000000,4.852532,0.000000
4.873542,4.872508,3.757324,0.000000,0.000000,0.020016,0.020008,235.000000,4.872544,0.000000
4.893549,4.892496,3.691406,0.000000,0.000000,0.019988,0.020006,236.000000,4.892536,0.000000
4.913555,4.912472,3.427734,0.000000,0.000000,0.019976,0.020006,237.000000,4.912512,0.000000
4.933557,4.932500,3.032227,0.000000,0.000000,0.020028,0.020002,238.000000,4.932536,0.000000
4.953557,4.953080,2.504883,0.000000,0.000000,0.020580,0.020001,239.000000,4.953120,0.000000
4.973548,4.973060,1.977539,0.000000,0.000000,0.019980,0.020017,240.000000,4.973096,0.000000
4.993574,4.993044,1.384277,0.000000,0.000000,0.019984,0.020000,241.000000,4.993088,0.000000
5.013582,5.013076,0.791016,0.000000,0.000000,0.020032,0.020007,242.000000,5.013112,0.000000
5.033583,5.033056,0.065918,0.000000,0.000000,0.019980,0.020001,243.000000,5.033096,0.000000
5.053590,5.053084,-0.527344,0.000000,0.000000,0.020028,0.020007,244.000000,5.053120,0.000000
5.073597,5.073096,-1.186523,0.000000,0.000000,0.020012,0.020008,245.000000,5.073136,0.000000
5.093599,5.092516,-1.713867,0.000000,0.000000,0.019420,0.020001,246.000000,5.092556,0.000000
5.113297,5.113096,-2.241211,0.000000,0.000000,0.020580,0.020027,247.000000,5.113136,0.000000
5.133633,5.133072,-2.570801,0.000000,0.000000,0.019976,0.020007,248.000000,5.133112,0.000000
5.153639,5.153088,-2.900391,0.000000,0.000000,0.020016,0.020007,249.000000,5.153128,0.000000
5.173647,5.173072,-3.098145,0.000000,0.000000,0.019984,0.020007,250.000000,5.173112,0.000000
5.193650,5.193056,-3.164062,0.000000,0.000000,0.019984,0.020003,251.000000,5.193096,0.000000
5.213656,5.213084,-3.164062,0.000000,0.000000,0.020028,0.020007,252.000000,5.213124,0.000000
5.233654,5.233060,-3.032227,0.000000,0.000000,0.019976,0.020000,253.000000,5.233096,0.000000
5.253664,5.253084,-2.768555,0.000000,0.000000,0.020024,0.020008,254.000000,5.253124,0.000000
5.273671,5.273068,-2.373047,0.000000,0.000000,0.019984,0.020007,255.000000,5.273104,0.000000
5.293678,5.293092,-1.845703,0.000000,0.000000,0.020024,0.020006,256.000000,5.293132,0.000000
5.313682,5.313068,-1.318359,0.000000,0.000000,0.019976,0.020004,257.000000,5.313112,0.000000
5.333686,5.333056,-0.791016,0.000000,0.000000,0.019988,0.020004,258.000000,5.333096,0.000000
5.353686,5.353084,-0.197754,0.000000,0.000000,0.020028,0.020000,259.000000,5.353120,0.000000
5.373691,5.373052,0.395508,0.000000,0.000000,0.019968,0.020005,260.000000,5.373092,0.000000
5.393698,5.393084,0.922852,0.000000,0.000000,0.020032,0.020013,261.000000,5.393120,0.000000
5.413708,5.413052,1.450195,0.000000,0.000000,0.019968,0.020005,262.000000,5.413092,0.000000
5.433714,5.433076,1.977539,0.000000,0.000000,0.020024,0.020006,263.000000,5.433112,0.000000
5.453715,5.453088,2.373047,0.000000,0.000000,0.020012,0.020001,264.000000,5.453128,0.000000
5.473720,5.473080,2.702637,0.000000,0.000000,0.019992,0.020004,265.000000,5.473120,0.000000
5.493724,5.493088,2.768555,0.000000,0.000000,0.020008,0.020004,266.000000,5.493128,0.000000
5.513724,5.513064,2.900391,0.000000,0.000000,0.019976,0.020004,267.000000,5.513104,0.000000
5.533732,5.533084,2.900391,0.000000,0.000000,0.020020,0.020004,268.000000,5.533124,0.000000
5.553732,5.553064,2.702637,0.000000,0.000000,0.019980,0.020000,269.000000,5.553104,0.000000
5.573736,5.573084,2.438965,0.000000,0.000000,0.020020,0.020005,270.000000,5.573124,0.000000
5.593743,5.593064,2.175293,0.000000,0.000000,0.019980,0.020006,271.000000,5.593104,0.000000
5.613748,5.613084,1.845703,0.000000,0.000000,0.020020,0.020005,272.000000,5.613128,0.000000
5.633750,5.633072,1.384277,0.000000,0.000000,0.019988,0.020002,273.000000,5.633112,0.000000
5.653757,5.653100,0.922852,0.000000,0.000000,0.020028,0.020008,274.000000,5.653136,0.000000
5.673759,5.673080,0.395508,0.000000,0.000000,0.019980,0.020002,275.000000,5.673120,0.000000
